ID,AID,LinkID
313,8421,64
314,8422,39
315,8423,51
316,8424,61
317,8425,57
318,8426,15
319,8427,7
320,8428,13
321,8429,27
322,8430,26
323,8431,25
324,8432,24
325,8433,22
326,8434,22
327,8435,1717
328,8436,472
329,8437,1721
330,8438,468
331,8439,1725
332,8440,465
333,8441,1735
334,8442,1729
335,8443,460
336,8444,454
337,8445,1706
338,8446,483
339,8447,1707
340,8448,482
341,8449,1708
342,8450,481
343,8451,1709
344,8452,480
345,8453,1713
346,8454,1710
347,8455,479
348,8456,476
349,8457,1683
350,8458,506
351,8459,1685
352,8460,504
353,8461,1687
354,8462,502
355,8463,1688
356,8464,501
357,8465,1689
358,8466,500
359,8467,1689
360,8468,500
361,8469,1690
362,8470,499
363,8471,1691
364,8472,498
365,8473,1668
366,8474,1668
367,8475,1674
368,8476,516
369,8477,1679
370,8478,1676
371,8479,513
372,8480,510
373,8481,576
374,8482,575
375,8483,1615
376,8484,1613
377,8485,1604
378,8486,585
379,8487,1605
380,8488,584
381,8489,1607
382,8490,583
383,8491,1608
384,8492,582
385,8493,1609
386,8494,580
387,8495,1610
388,8496,579
389,8497,1613
390,8498,1612
391,8499,578
392,8500,577
393,8501,1592
394,8502,598
395,8503,1594
396,8504,595
397,8505,1598
398,8506,592
399,8507,1599
400,8508,590
401,8509,1600
402,8510,589
403,8511,1603
404,8512,1602
405,8513,588
406,8514,587
407,8515,603
408,8516,1587
409,8517,1583
410,8518,606
411,8519,605
412,8520,604
413,8521,1586
414,8522,1584
415,8523,610
416,8524,608
417,8525,1581
418,8526,1579
419,8527,1578
420,8528,1577
421,8529,613
422,8530,611
423,8531,1575
424,8532,1574
425,8533,615
426,8534,614
427,8535,1573
428,8536,616
429,8537,1570
430,8538,1568
431,8539,621
432,8540,619
433,8541,1566
434,8542,623
435,8543,1588
436,8544,601
437,8545,1591
438,8546,1589
439,8547,600
440,8548,599
441,8549,1519
442,8550,670
443,8551,1515
444,8552,674
445,8553,1516
446,8554,673
447,8555,1518
448,8556,1517
449,8557,671
450,8558,671
451,8559,1509
452,8560,680
453,8561,1510
454,8562,679
455,8563,1511
456,8564,678
457,8565,1514
458,8566,1513
459,8567,676
460,8568,675
461,8569,1500
462,8570,689
463,8571,1502
464,8572,687
465,8573,1503
466,8574,685
467,8575,1505
468,8576,684
469,8577,1508
470,8578,1506
471,8579,683
472,8580,681
473,8581,1491
474,8582,698
475,8583,1492
476,8584,696
477,8585,1493
478,8586,695
479,8587,1494
480,8588,694
481,8589,1497
482,8590,1496
483,8591,693
484,8592,691
485,8593,1486
486,8594,703
487,8595,1486
488,8596,702
489,8597,1487
490,8598,702
491,8599,1489
492,8600,1488
493,8601,700
494,8602,699
495,8603,1480
496,8604,708
497,8605,1482
498,8606,707
499,8607,1485
500,8608,1483
501,8609,705
502,8610,704
503,8611,1418
504,8612,770
505,8613,766
506,8614,1422
507,8615,1388
508,8616,800
509,8617,1357
510,8618,829
511,8619,1370
512,8620,816
